team_full_name,team_captain_(current),team_coach_(current),team_home_ground_(current),number_of_ipl_titles,team_owners,team_about
chennai_super_kings,ms_dhoni,stephen_fleming,"ma_chidambaram_stadium,_chennai","5 (2010, 2011, 2018, 2021, 2023)",chennai_super_kings_cricket_ltd_(subsidiary_of_india_cements),"the_most_consistent_ipl_franchise_ever,_chennai_super_kings_have_been_led_by_ms_dhoni_to_five_titles,_and_have_only_finished_below_fourth_place_twice._the_franchise_is_owned_by_india_cements,_of_which_n_srinivasan,_the_former_bcci_president_and_former_chairman_of_the_icc,_is_chairman._csk_was_purchased_for_rs_360_crore_(approx_us$91_million)_in_2008."
delhi_capitals,rishabh_pant,ricky_ponting,"arun_jaitley_stadium,_new_delhi",0,"gmr_sports_pvt_ltd,_jsw_sports_pvt_ltd","delhi_capitals_(earlier_daredevils)_stumbled_in_the_semi-finals_in_the_first_two_seasons,_and_in_the_playoffs_in_2012_and_2019._they_made_the_title_round_for_the_first_time_in_2020,_where_they_lost_to_mumbai_indians._they_made_it_almost_as_far_in_2021_too,_topping_the_table_in_the_league_stage,_but_then_lost_both_their_playoffs_to_crash_out."
gujarat_titans,shubman_gill,ashish_nehra,"narendra_modi_stadium,_ahmedabad",1 (2022),cvc_capital_partners,"gujarat_titans_were_one_of_two_new_teams_introduced_ahead_of_the_2022_season._cvc_capital_partners_won_the_franchise_bid_for_rs_5625_crore_(approx_us$750_million)._they_picked_hardik_pandya,_rashid_khan_and_shubman_gill_ahead_of_the_2022_auction._pandya_was_named_captain._ashish_nehra_was_appointed_head_coach,_gary_kirsten_mentor_and_batting_coach,_and_vikram_solanki_director_of_cricket."
kolkata_knight_riders,shreyas_iyer,chandrakant_pandit,"eden_gardens,_kolkata","2 (2012, 2014)",knight_riders_sports_private_ltd,"one_of_three_teams_to_have_won_more_than_one_ipl_title,_kkr_are_owned_by_actors_shah_rukh_khan_and_juhi_chawla_and_chawla's_husband_jay_mehta._the_franchise_was_bought_for_about_rs_262.5_crore_(approx._us$75.09_million)_in_2008_and_has_been_one_of_the_tournament's_most_popular_teams."
lucknow_super_giants,kl_rahul,justin_langer,"br_sabv_ekana_cricket_stadium,_lucknow",0,rpsg_group,"lucknow_super_giants,_one_of_the_two_new_teams_added_to_the_ipl_ahead_of_the_2022_season,_were_bought_for_a_record_sum_of_rs_7090_crore_(approx._us$940_million)_by_rp_sanjiv_goenka_group,_which_previously_owned_the_rising_pune_supergiant_franchise_in_2016_and_2017._andy_flower_was_appointed_head_coach_and_gautam_gambhir_mentor."
mumbai_indians,hardik_pandya,mark_boucher,"wankhede_stadium,_mumbai","5 (2013, 2015, 2017, 2019, 2020)",indiawin_sports_private_limited_(reliance_industries_ltd),"one_of_the_most_high-profile_teams_in_the_tournament,_mumbai_indians_are_tied_with_chennai_super_kings_as_the_most_successful,_with_five_titles._the_franchise_was_purchased_by_the_reliance_conglomerate_for_about_rs_487_crore_(us$112_million)_in_2008,_making_it_the_most_expensive_team_in_the_league_at_the_time."
punjab_kings,shikhar_dhawan,trevor_bayliss,"pca_new_stadium,_mullanpur",0,kph_dream_cricket_private_ltd,"punjab_kings_(previously_kings_xi_punjab)_was_bought_for_rs_304_crore_(about_us$76_million)_in_2008_by_mohit_burman,_ness_wadia,_preity_zinta_and_karan_paul._the_only_franchises_that_went_for_lower_were_rajasthan_royals_(rs_268_crore,_$67_million)_and_kolkata_knight_riders_(rs_300_crore,_$75.09_million)._punjab,_who_changed_their_name_ahead_of_the_2021_ipl,_have_got_to_the_final_only_once."
rajasthan_royals,sanju_samson,kumar_sangakkara,"sawai_mansingh_stadium,_jaipur",1 (2008),the_royals_sports_group,"the_team_that_attracted_the_smallest_bid_when_the_ipl_franchises_were_first_sold,_rajasthan_royals_emerged_unlikely_champions_in_the_first_season._since_then_they_have_blown_hot_and_cold,_reaching_the_playoffs_four_times_and_finishing_sixth_or_below_seven_times._they_have_also_been_hit_by_controversy_off_the_field._in_2010_there_was_a_court_battle_over_ownership._in_2013,_three_of_their_players_were_arrested_on_charges_of_spot-fixing,_and_following_an_investigation,_the_franchise_was_suspended_for_two_years_for_its_involvement_in_illegal_betting_and_match-fixing."
royal_challengers_bengaluru,faf_du_plessis,andy_flower,"m_chinnaswamy_stadium,_bengaluru",0,diageo_india_private_limited,"high_on_the_popularity_charts_but_with_nothing_to_show_for_it_in_their_trophy_cabinet,_royal_challengers_bangalore_have_been_runners-up_three_times._bought_for_rs_464_crore_(about_us$111.6_million),_they_were_the_second-most-expensive_franchise_in_2008._the_team_ownership_changed_hands_from_vijay_mallya,_chairman_of_united_breweries_limited,_to_diageo_india_in_2015."
sunrisers_hyderabad,pat_cummins,daniel_vettori,"rajiv_gandhi_international_cricket_stadium,_hyderabad",1 (2016),sun_tv_network,"sunrisers_hyderabad_entered_the_ipl_in_2013,_after_the_previous_hyderabad-based_franchise,_deccan_chargers,_was_dissolved_due_to_prolonged_financial_issues._the_srh_franchise_was_bought_by_sun_tv_network_for_rs_85.05_crores_(about_us$15.9_million)_per_year_for_a_five-year_deal."
